,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,US04367G1031,United States of America,Americas,Surgical and Medical Instrument Manufacturing,Medical Equipment and Supplies Manufacturing,Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,Surgical and Medical Instruments and Apparatus,"Medical Equipment, Supplies & Distribution",Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Miscellaneous Manufacturing,US04367G1031
0,US00191U1025,United States of America,Americas,Custom Computer Programming Services,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services",Human Resource & Employment Services,Professional Services,Industrials,Industrial Support Services,Commercial  & Professional Services,Help Supply Services,IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,"Professional, Scientific, and Technical Services",US00191U1025
0,US0441041078,United States of America,Americas,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Asset Management & Custody Banks,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",US0441041078
0,US0441038694,United States of America,Americas,Lessors of Nonresidential Buildings (except Miniwarehouses),Lessors of Real Estate,Real Estate and Rental and Leasing,Hotel & Resort REITs,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate Investment Trusts,Real Estate,Real Estate Investment Trusts,Specialized REITs,Residential & Commercial REITs,Real Estate,Real Estate,,Real Estate,US0441038694
0,US0441861046,United States of America,Americas,Plastics Material and Resin Manufacturing,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Manufacturing,Specialty Chemicals,Chemicals,Basic Materials,Chemicals,Materials,,Diversified Chemicals,Chemicals,Chemicals,Basic Materials,,Chemical Manufacturing,US0441861046
0,GB00B132NW22,United Kingdom,Europe,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Asset Management & Custody Banks,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",GB00B132NW22
0,INE208A01029,India,Asia,Automobile and Light Duty Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Manufacturing,Construction Machinery & Heavy Trucks,Machinery,Industrials,Industrial Transportation,Capital Goods,,Heavy Machinery & Vehicles,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Transportation Equipment Manufacturing,INE208A01029
0,GB0000536739,United Kingdom,Europe,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",Commercial and Industrial Machinery and Equipment Rental and Leasing,Real Estate and Rental and Leasing,Trading Companies & Distributors,Trading Companies & Distributors,Industrials,Industrial Transportation,Capital Goods,,Business Support Services,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Rental and Leasing Services,GB0000536739
0,TH3437010004,Thailand,Asia,Scheduled Passenger Air Transportation,Scheduled Air Transportation,Transportation and Warehousing,Airlines,Airlines,Consumer Discretionary,Travel and Leisure,Transportation,,Airlines,Passenger Transportation Services,Transportation,Industrials,,Air Transportation,TH3437010004
0,TW0001102002,Taiwan,Asia,Cement Manufacturing,Cement and Concrete Product Manufacturing,Manufacturing,Construction Materials,Construction Materials,Industrials,Construction and Materials,Materials,,Construction Materials,Construction Materials,Mineral Resources,Basic Materials,,Nonmetallic Mineral Product Manufacturing,TW0001102002
0,GB0002945029,United Kingdom,Europe,Other Financial Vehicles,Other Investment Pools and Funds,Finance and Insurance,,,Financials,Closed End Investments,,,UK Investment Trusts,Collective Investments,Collective Investments,Financials,,"Funds, Trusts, and Other Financial Vehicles",GB0002945029
0,TW0003682001,Taiwan,Asia,Wireless Telecommunications Carriers (except Satellite),Wired and Wireless Telecommunications (except Satellite),Information,Integrated Telecommunication Services,Diversified Telecommunication Services,Telecommunications,Telecommunications Service Providers,Telecommunication Services,,Wireless Telecommunications Services,Telecommunications Services,Telecommunications Services,Technology,,Telecommunications,TW0003682001
0,BMG0620W2019,Hong Kong,Asia,Fresh Fruit and Vegetable Merchant Wholesalers,Grocery and Related Product Merchant Wholesalers,Wholesale Trade,Agricultural Products,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Fishing & Farming,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,"Merchant Wholesalers, Nondurable Goods",BMG0620W2019
0,INE021A01026,India,Asia,Paint and Coating Manufacturing,"Paint, Coating, and Adhesive Manufacturing",Manufacturing,Specialty Chemicals,Chemicals,Industrials,General Industrials,Materials,,Commodity Chemicals,Chemicals,Chemicals,Basic Materials,,Chemical Manufacturing,INE021A01026
0,JP3118000003,Japan,Asia,Footwear Manufacturing,Footwear Manufacturing,Manufacturing,Footwear,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Personal Goods,Consumer Durables & Apparel,,Recreational Products,Leisure Products,Cyclical Consumer Products,Consumer Cyclicals,Manufacturing,Leather and Allied Product Manufacturing,JP3118000003
0,NL0000334118,Netherlands,Europe,Semiconductor Machinery Manufacturing,Industrial Machinery Manufacturing,Manufacturing,Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Technology,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,,Semiconductor Equipment & Testing,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Machinery Manufacturing,NL0000334118
0,KYG0535Q1331,Hong Kong,Asia,Semiconductor Machinery Manufacturing,Industrial Machinery Manufacturing,Manufacturing,Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Technology,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,,Semiconductor Equipment & Testing,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Machinery Manufacturing,KYG0535Q1331
0,CH0404880129,Switzerland,Europe,Web Search Portals and All Other Information Services,"Web Search Portals, Libraries, Archives, and Other Information Services",Information,Interactive Media & Services,Interactive Media & Services,Consumer Discretionary,Travel and Leisure,Media & Entertainment,,Online Services,Software & IT Services,Software & IT Services,Technology,,"Web Search Portals, Libraries, Archives, and Other Information Services",CH0404880129
0,TW0005269005,Taiwan,Asia,Semiconductor and Related Device Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Semiconductors,Semiconductors & Semiconductor Equipment,Technology,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,,Semiconductors,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,TW0005269005
0,NL0010273215,Netherlands,Europe,Semiconductor Machinery Manufacturing,Industrial Machinery Manufacturing,Manufacturing,Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Technology,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,"Special Industry Machinery, Not Elsewhere Classified",Semiconductor Equipment & Testing,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Machinery Manufacturing,NL0010273215
0,GB0030927254,United Kingdom,Europe,All Other Miscellaneous Retailers,Other Miscellaneous Retailers,Retail Trade,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary,Retailers,Retailing,,Department Stores,Diversified Retail,Retailers,Consumer Cyclicals,,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",GB0030927254
0,US04523Y1055,United States of America,Americas,Polystyrene Foam Product Manufacturing,Plastics Product Manufacturing,Manufacturing,Specialty Chemicals,Chemicals,Industrials,Construction and Materials,Materials,,Construction Supplies & Fixtures,Homebuilding & Construction Supplies,Cyclical Consumer Products,Consumer Cyclicals,,Plastics and Rubber Products Manufacturing,US04523Y1055
0,US04530L2034,United States of America,Americas,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",Educational Services,Education Services,Diversified Consumer Services,Consumer Discretionary,Consumer Services,Consumer Services,,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers,Academic & Educational Services,Academic & Educational Services,,Educational Services,US04530L2034
0,AU000000APZ8,Australia,Oceania,Hotels (except Casino Hotels) and Motels,Traveler Accommodation,Accommodation and Food Services,Diversified REITs,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate Investment Trusts,Real Estate,,"Real Estate Rental, Development & Operations",Real Estate Operations,Real Estate,Real Estate,,Accommodation,AU000000APZ8
0,BMG053841547,Bermuda,Americas,Reinsurance Carriers,Insurance Carriers,Finance and Insurance,,,Financials,Non-life Insurance,,"Fire, Marine, and Casualty Insurance",Reinsurance,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,BMG053841547
0,ZAE000066692,South Africa,Africa,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,ZAE000066692
0,US0453271035,United States of America,Americas,Software Publishers,Software Publishers,Information,Application Software,Software,Technology,Software & Computer Services,Software & Services,Computer Programming Services,Software,Software & IT Services,Software & IT Services,Technology,,Publishing Industries,US0453271035
0,US04537Y1091,United States of America,Americas,In-Vitro Diagnostic Substance Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,In Vitro and In Vivo Diagnostic Substances,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,US04537Y1091
0,MT0001530105,Malta,Europe,Software Publishers,Software Publishers,Information,,,Consumer Discretionary,Travel and Leisure,,,Online Services,Software & IT Services,Software & IT Services,Technology,,Publishing Industries,MT0001530105
0,FI0009008072,Finland,Europe,Other Chemical and Allied Products Merchant Wholesalers,Chemical and Allied Products Merchant Wholesalers,Wholesale Trade,Industrial Conglomerates,Industrial Conglomerates,Industrials,General Industrials,Capital Goods,,Commodity Chemicals,Chemicals,Chemicals,Basic Materials,,"Merchant Wholesalers, Nondurable Goods",FI0009008072
0,NL0011872643,Netherlands,Europe,Direct Life Insurance Carriers,Insurance Carriers,Finance and Insurance,Multi-line Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Multiline Insurance & Brokers,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,NL0011872643
0,SE0007100581,Sweden,Europe,Locksmiths,Investigation and Security Services,Administrative and Support and Waste Management and Remediation Services,Building Products,Building Products,Industrials,Construction and Materials,Capital Goods,,Construction Supplies & Fixtures,Homebuilding & Construction Supplies,Cyclical Consumer Products,Consumer Cyclicals,,Administrative and Support Services,SE0007100581
0,PLSOFTB00016,Poland,Europe,Software Publishers,Software Publishers,Information,Systems Software,Software,Technology,Software & Computer Services,Software & Services,,IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,Publishing Industries,PLSOFTB00016
0,US0453961080,United States of America,Americas,Research and Development in Biotechnology (except Nanobiotechnology),Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",US0453961080
0,US04546C2052,United States of America,Americas,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,US04546C2052
0,TH9436010002,Thailand,Asia,Hotels (except Casino Hotels) and Motels,Traveler Accommodation,Accommodation and Food Services,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Real Estate,Real Estate Investment and Services Development,Consumer Services,,"Hotels, Motels & Cruise Lines",Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,Accommodation,TH9436010002
0,US04546L1061,United States of America,Americas,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Asset Management & Custody Banks,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,Investment Advice,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",US04546L1061
0,IT0000062072,Italy,Europe,Direct Life Insurance Carriers,Insurance Carriers,Finance and Insurance,Multi-line Insurance,Insurance,Financials,Non-life Insurance,Insurance,,Life & Health Insurance,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,IT0000062072
0,US0454871056,United States of America,Americas,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Regional Banks,Banks,Financials,Banks,Banks,State Commercial Banks,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,US0454871056
0,GB0006731235,United Kingdom,Europe,Clothing and Clothing Accessories Retailers,Clothing and Clothing Accessories Retailers,Retail Trade,Packaged Foods & Meats,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",GB0006731235
0,US0455281065,United States of America,Americas,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Asset Management & Custody Banks,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,"Security Brokers, Dealers, and Flotation Companies",Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",US0455281065
0,GB00BVGBWW93,United Kingdom,Europe,Lessors of Nonresidential Buildings (except Miniwarehouses),Lessors of Real Estate,Real Estate and Rental and Leasing,Health Care REITs,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate Investment Trusts,Real Estate,,Specialized REITs,Residential & Commercial REITs,Real Estate,Real Estate,,Real Estate,GB00BVGBWW93
0,US04621X1081,United States of America,Americas,"Other Direct Insurance (except Life, Health, and Medical) Carriers",Insurance Carriers,Finance and Insurance,Multi-line Insurance,Insurance,Financials,Non-life Insurance,Insurance,"Insurance Carriers, Not Elsewhere Classified",Multiline Insurance & Brokers,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,US04621X1081
0,BMG0585R1060,Bermuda,Americas,Direct Property and Casualty Insurance Carriers,Insurance Carriers,Finance and Insurance,Property & Casualty Insurance,Insurance,Financials,Non-life Insurance,Insurance,Surety Insurance,Property & Casualty Insurance,Insurance,Insurance,Financials,,Insurance Carriers and Related Activities,BMG0585R1060
0,FR0000074148,France,Europe,Engineering Services,"Architectural, Engineering, and Related Services","Professional, Scientific, and Technical Services",Research & Consulting Services,Professional Services,Industrials,Construction and Materials,Commercial  & Professional Services,,Construction & Engineering,Construction & Engineering,Industrial & Commercial Services,Industrials,,"Professional, Scientific, and Technical Services",FR0000074148
0,US0462241011,United States of America,Americas,Construction Machinery Manufacturing,"Agriculture, Construction, and Mining Machinery Manufacturing",Manufacturing,Construction Machinery & Heavy Trucks,Machinery,Industrials,Industrial Engineering,Capital Goods,Construction Machinery and Equipment,Heavy Machinery & Vehicles,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Machinery Manufacturing,US0462241011
0,JP3942400007,Japan,Asia,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,Manufacturing,Chemical Manufacturing,JP3942400007
0,GB00BN7CG237,United Kingdom,Europe,Automobile and Light Duty Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Manufacturing,Automobile Manufacturers,Automobiles,Consumer Discretionary,Automobiles and Parts,Automobiles & Components,,Auto & Truck Manufacturers,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,Transportation Equipment Manufacturing,GB00BN7CG237
0,ID1000066004,Indonesia,Asia,Soybean and Other Oilseed Processing,Grain and Oilseed Milling,Manufacturing,Agricultural Products,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,ID1000066004
0,ID1000122807,Indonesia,Asia,Automobile and Other Motor Vehicle Merchant Wholesalers,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,Wholesale Trade,Automobile Manufacturers,Automobiles,Consumer Discretionary,Automobiles and Parts,Automobiles & Components,,Auto & Truck Manufacturers,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,"Merchant Wholesalers, Durable Goods",ID1000122807
0,ZAE000029757,South Africa,Africa,Other Animal Food Manufacturing,Animal Food Manufacturing,Manufacturing,Packaged Foods & Meats,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,ZAE000029757
0,GB0009895292,United Kingdom,Europe,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,GB0009895292
0,US04635X1028,United States of America,Americas,Research and Development in Biotechnology (except Nanobiotechnology),Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",US04635X1028
0,MYL6399OO009,Malaysia,Asia,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Provide","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Provide",Information,Broadcasting,Media,Consumer Discretionary,Media,Media & Entertainment,,Broadcasting,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,,Broadcasting and Content Providers,MYL6399OO009
0,US0464331083,United States of America,Americas,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Aerospace Product and Parts Manufacturing,Manufacturing,Aerospace & Defense,Aerospace & Defense,Industrials,Aerospace and Defense,Capital Goods,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",Aerospace & Defense,Aerospace & Defense,Industrial Goods,Industrials,,Transportation Equipment Manufacturing,US0464331083
0,US04638F1084,United States of America,Americas,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Computer and Peripheral Equipment Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,"Computer Peripheral Equipment, Not Elsewhere Classified",Computer Hardware,"Computers, Phones & Household Electronics",Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,US04638F1084
0,US04649U1025,United States of America,Americas,Computer Systems Design Services,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services",Application Software,Software,Technology,Software & Computer Services,Software & Services,Computer Integrated Systems Design,Software,Software & IT Services,Software & IT Services,Technology,,"Professional, Scientific, and Technical Services",US04649U1025
0,TW0002357001,Taiwan,Asia,Electronic Computer Manufacturing,Computer and Peripheral Equipment Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Computer Hardware,"Computers, Phones & Household Electronics",Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,TW0002357001
0,AU000000ASX7,Australia,Oceania,Securities and Commodity Exchanges,Securities and Commodity Exchanges,Finance and Insurance,Financial Exchanges & Data,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Financial & Commodity Market Operators & Service Providers,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",AU000000ASX7
0,CNE100002BZ6,China,Asia,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,CNE100002BZ6
0,AT0000969985,Austria,Europe,Bare Printed Circuit Board Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Electronic Components,"Electronic Equipment, Instruments & Components",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Semiconductors,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,AT0000969985
0,US00206R1023,United States of America,Americas,Wireless Telecommunications Carriers (except Satellite),Wired and Wireless Telecommunications (except Satellite),Information,Integrated Telecommunication Services,Diversified Telecommunication Services,Telecommunications,Telecommunications Service Providers,Telecommunication Services,"Telephone Communications, Except Radiotelephone",Wireless Telecommunications Services,Telecommunications Services,Telecommunications Services,Technology,,Telecommunications,US00206R1023
0,BRCRFBACNOR2,Brazil,Americas,General Line Grocery Merchant Wholesalers,Grocery and Related Product Merchant Wholesalers,Wholesale Trade,Hypermarkets & Super Centers,Food & Staples Retailing,Consumer Staples,"Personal Care, Drug and Grocery Stores",Food & Staples Retailing,,Food Retail & Distribution,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,,"Merchant Wholesalers, Nondurable Goods",BRCRFBACNOR2
0,CY0106002112,Cyprus,Europe,"Copper, Nickel, Lead, and Zinc Mining",Metal Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Copper,Metals & Mining,Basic Materials,Precious Metals and Mining,Materials,,Specialty Mining & Metals,Metals & Mining,Mineral Resources,Basic Materials,,Mining (except Oil and Gas),CY0106002112
0,US0465131078,United States of America,Americas,Research and Development in Biotechnology (except Nanobiotechnology),Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences","Biological Products, Except Diagnostic Substances",Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",US0465131078
0,CA0467894006,Canada,Americas,Electric Bulk Power Transmission and Control,"Electric Power Generation, Transmission and Distribution",Utilities,Multi-Utilities,Multi-Utilities,Utilities,"Gas, Water and Multi-utilities",Utilities,,Multiline Utilities,Multiline Utilities,Utilities,Utilities,,Utilities,CA0467894006
0,NO0004822503,Norway,Europe,Electronics and Appliance Retailers,Electronics and Appliance Retailers,Retail Trade,IT Consulting & Other Services,IT Services,Technology,Software & Computer Services,Software & Services,,IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",NO0004822503
0,US04683R1068,United States of America,Americas,Research and Development in Biotechnology (except Nanobiotechnology),Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",US04683R1068
0,LU2212224153,Luxembourg,Europe,Telemarketing Bureaus and Other Contact Centers,Business Support Services,Administrative and Support and Waste Management and Remediation Services,Office Services & Supplies,Commercial Services & Supplies,Industrials,Industrial Support Services,Commercial  & Professional Services,"Telephone Communications, Except Radiotelephone",Business Support Services,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Administrative and Support Services,LU2212224153
0,US02156U1016,United States of America,Americas,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,Wholesale Trade,Household Appliances,Household Durables,Consumer Discretionary,Household Goods and Home Construction,Consumer Durables & Apparel,Electric Housewares and Fans,"Appliances, Tools & Housewares",Household Goods,Cyclical Consumer Products,Consumer Cyclicals,,"Merchant Wholesalers, Durable Goods",US02156U1016
0,CA04682R1073,Canada,Americas,Natural Gas Extraction,Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,"Oil, Gas and Coal",Energy,,Oil & Gas Exploration and Production,Oil & Gas,Energy - Fossil Fuels,Energy,,Oil and Gas Extraction,CA04682R1073
0,GRS359353000,Greece,Europe,Water Supply and Irrigation Systems,"Water, Sewage and Other Systems",Utilities,Water Utilities,Water Utilities,Utilities,"Gas, Water and Multi-utilities",Utilities,,Water & Related Utilities,Water & Related Utilities,Utilities,Utilities,,Utilities,GRS359353000
0,US04746L1044,United States of America,Americas,Research and Development in Biotechnology (except Nanobiotechnology),Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences","Biological Products, Except Diagnostic Substances",Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",US04746L1044
0,US0476491081,United States of America,Americas,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Steel Product Manufacturing from Purchased Steel,Manufacturing,Electrical Components & Equipment,Electrical Equipment,Industrials,Electronic and Electrical Equipment,Capital Goods,,Electrical Components & Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Primary Metal Manufacturing,US0476491081
0,IT0003506190,Italy,Europe,Other Support Activities for Road Transportation,Support Activities for Road Transportation,Transportation and Warehousing,,,Industrials,Industrial Transportation,,,Highways & Rail Tracks,Transport Infrastructure,Transportation,Industrials,,Support Activities for Transportation,IT0003506190
0,US04911A1079,United States of America,Americas,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Regional Banks,Banks,Financials,Banks,Banks,State Commercial Banks,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,US04911A1079
0,US04914Y1029,United States of America,Americas,Credit Card Issuing,Nondepository Credit Intermediation,Finance and Insurance,Consumer Finance,Consumer Finance,Industrials,Industrial Support Services,Diversified Financials,Personal Credit Institutions,Consumer Lending,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,US04914Y1029
0,MHY0436Q1098,United Kingdom,Europe,Deep Sea Freight Transportation,"Deep Sea, Coastal, and Great Lakes Water Transportation",Transportation and Warehousing,Marine Ports & Services,Transportation Infrastructure,Industrials,Industrial Transportation,Transportation,Deep Sea Foreign Transportation of Freight,Marine Freight & Logistics,Freight & Logistics Services,Transportation,Industrials,,Water Transportation,MHY0436Q1098
